x,p_small_pocket,p_large_pocket
-2e-06,"0,064","0,131"
"0,00188","0,0655","0,1592"
"0,01408","0,0866","0,3275"
"0,02159","0,131","0,4152"
"0,03379","0,2821","0,524"
"0,04131","0,393","0,554"
"0,0521","0,5285","0,5568"
"0,0629","0,5895","0,5556"
"0,07605","0,4976","0,5568"
"0,08168","0,4585","0,5582"
"0,0967","0,4608","0,5895"
"0,10328","0,4585","0,6277"
"0,11548","0,3766","0,6878"
"0,12206","0,3275","0,6836"
"0,13379","0,3101","0,655"
"0,14178","0,3275","0,6618"
"0,1521","0,3502","0,655"
"0,16244","0,3275","0,5749"
"0,17182","0,2305","0,4913"
"0,18122","0,131","0,4347"
"0,19436","0,0882","0,3603"
"0,20188","0,0655","0,2922"
"0,21173","-0,0097","0,2293"
"0,22066","-0,0655","0,2336"
"0,2338","-0,0381","0,2293"
"0,24131",0,"0,1627"
"0,25211","0,0508","0,0328"
"0,26291","0,131","0,0009"
"0,27183","0,2339","0,0983"
"0,28309","0,3274","0,786"
"0,2845","0,3275","1,0114"
"0,2887","0,2997","1,8341"
"0,2948","0,2085","2,5546"
"0,2976","0,1673","3,0459"
"0,30141","0,131","3,6856"
"0,30697","0,122","4,5197"
"0,314","0,1486","5,4694"
"0,3168","0,164","6,3865"
"0,32289","0,196","7,238"
"0,323","0,1965","7,2521"
"0,32945","0,2121","8,155"
"0,33648","0,2067","9,1376"
"0,34178","0,1965","10,0043"
"0,34397","0,1927","10,3166"
"0,35194","0,1842","11,2009"
"0,35755","0,1854","12,2489"
"0,36083","0,19","13,2642"
"0,36338","0,1965","13,8812"
"0,36457","0,2006","14,1157"
"0,37066","0,2293","15,0328"
"0,38097","0,2622","16,2773"
"0,38122","0,262","16,3122"
"0,38705","0,2436","17,3908"
"0,39454","0,2092","18,7664"
"0,40094","0,1965","19,6899"
"0,4011","0,1966","19,7162"
"0,40578","0,2052","20,7314"
"0,41139","0,2217","22,107"
"0,41701","0,2257","22,9585"
"0,42253","0,1965","23,5437"
"0,42544","0,1621","24,0721"
"0,42917","0,1174","25,9061"
"0,43807","0,2082","27,3799"
"0,44225","0,4585","28,4975"
"0,44321","0,5431","28,69"
"0,45305","1,8529","30,131"
"0,4565","2,4264","31,4933"
"0,46192","3,3406","32,4248"
"0,46299","3,5161","32,6075"
"0,47066","4,6997","34,258"
"0,48068","6,1562","36,0736"
"0,48159","6,2882","36,2628"
"0,48834","7,2525","38,0956"
"0,49364","7,8961","39,9112"
"0,49835","8,3027","40,9015"
"0,50128","8,4498","41,6122"
"0,50366","8,5038","41,8093"
"0,51491","8,2356","41,1078"
"0,52194","7,9258","40,6866"
"0,52912","7,733","40,3651"
"0,54167","7,5983","39,8742"
"0,5451","7,5573","39,7461"
"0,56049","7,2535","39,0034"
"0,56233","7,2052","38,8673"
"0,57648","6,7901","37,6829"
"0,583","6,6157","37,263"
"0,59069","6,464","36,8164"
"0,60178","6,2882","35,9975"
"0,6055","6,22","35,7023"
"0,61912","5,9532","34,7945"
"0,62244","5,8952","34,6187"
"0,64043","5,6461","33,6803"
"0,64123","5,6332","33,6342"
"0,65523","5,3462","32,6075"
"0,66001","5,2402","32,1873"
"0,67063","5,0325","31,3283"
"0,68067","4,9127","30,6923"
"0,68721","4,8889","30,2554"
"0,70227","4,8472","28,8888"
"0,70261","4,8443","28,8525"
"0,71328","4,7008","27,7383"
"0,72387","4,5197","26,8718"
"0,72927","4,4436","26,4592"
"0,73993","4,3027","25,6339"
"0,74266","4,2576","25,4085"
"0,75474","4,01","24,396"
"0,76238","3,8646","23,7551"
"0,76895","3,7853","23,1581"
"0,78022","3,6681","22,0332"
"0,78495","3,5951","21,59"
"0,80094","3,3064","20,2283"
"0,80277","3,2751","20,0441"
"0,81516","3,1189","18,7428"
"0,81967","3,0786","18,3904"
"0,83056","2,98","17,5875"
"0,84221","2,8821","16,3094"
"0,84478","2,8631","16,0194"
"0,85959","2,7324","14,6165"
"0,86287","2,6856","14,34"
"0,87025","2,5498","13,7499"
"0,87854","2,3813","12,9246"
"0,88353","2,2926","11,8976"
"0,88448","2,2784","11,7693"
"0,89395","2,1775","10,944"
"0,8987","2,135","10,16"
"0,90231","2,0961","10,0195"
"0,91053","1,9795","9,7473"
"0,91765","1,8539","8,6745"
"0,92486","1,7031","7,8222"
"0,93009","1,5738","7,354"
"0,94134","1,2768","6,4462"
"0,9427","1,2445","6,2938"
"0,95497","0,9998","4,7544"
"0,96208","0,8842","4,0942"
"0,96431","0,8515","3,8293"
"0,96979","0,7774","3,1451"
"0,97808","0,6684","2,4024"
"0,98309","0,5895","1,8665"
"0,98578","0,5385","1,4946"
"0,98934","0,4623","0,8756"
"0,99941","0,2118","0,1741"
1,"0,1965","0,1378"
